angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.0,0.01,[822 174 360 360],[820 296 357 357],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.02,0.0,0.0
0.0,0.01,[822 174 361 361],[820 296 357 357],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.0,0.0
0.0,,[821 175 357 357],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[821 175 357 357],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[821 175 357 357],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[820 170 363 363],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[820 170 363 363],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[820 168 363 363],,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,[819 166 366 366],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[819 166 366 366],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.01,,[788 177 378 378],,0.0,,0.01,,0.0,,0.94,,0.04,,0.0,
0.01,,[789 178 377 377],,0.0,,0.01,,0.0,,0.94,,0.04,,0.0,
0.01,,[789 178 377 377],,0.0,,0.01,,0.0,,0.94,,0.04,,0.0,
0.01,,[791 178 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.01,,[791 178 375 375],,0.0,,0.01,,0.0,,0.93,,0.04,,0.0,
0.01,,[794 182 367 367],,0.0,,0.05,,0.0,,0.81,,0.12,,0.01,
0.01,,[794 182 366 366],,0.0,,0.04,,0.0,,0.83,,0.11,,0.01,
0.02,,[792 181 370 370],,0.0,,0.09,,0.0,,0.57,,0.31,,0.0,
0.03,,[792 181 370 370],,0.0,,0.1,,0.0,,0.57,,0.31,,0.0,
0.02,,[793 182 368 368],,0.0,,0.08,,0.0,,0.65,,0.25,,0.0,
0.05,,[798 183 363 363],,0.0,,0.13,,0.0,,0.51,,0.3,,0.0,
0.05,,[798 183 363 363],,0.0,,0.14,,0.0,,0.5,,0.31,,0.0,
0.04,,[796 180 366 366],,0.0,,0.12,,0.0,,0.52,,0.32,,0.0,
0.04,,[796 180 366 366],,0.0,,0.12,,0.0,,0.52,,0.31,,0.0,
0.04,,[796 180 366 366],,0.0,,0.12,,0.0,,0.52,,0.32,,0.0,
0.04,,[798 182 365 365],,0.0,,0.07,,0.0,,0.57,,0.3,,0.01,
0.04,,[798 182 365 365],,0.0,,0.07,,0.0,,0.58,,0.3,,0.01,
0.07,,[798 180 365 365],,0.0,,0.09,,0.0,,0.47,,0.36,,0.01,
0.06,,[799 181 365 365],,0.0,,0.09,,0.0,,0.47,,0.36,,0.01,
0.06,,[799 181 365 365],,0.0,,0.09,,0.0,,0.47,,0.36,,0.01,
0.08,,[798 179 366 366],,0.0,,0.09,,0.0,,0.43,,0.39,,0.02,
0.06,,[799 179 365 365],,0.0,,0.09,,0.0,,0.51,,0.32,,0.01,
0.07,,[803 182 360 360],,0.0,,0.08,,0.0,,0.53,,0.31,,0.02,
